rank,symbol,allTimeHigh,priceDropSinceATH,volume24
1,BTC,6904500,-10.28,3873B
2,ETH,487826,-30.07,1709B
3,USDT,132,-24.17,6919B
4,BNB,68631,-40.48,131B
5,SOL,25996,-50.4,424B
6,XRP,340,-81.16,271B
7,STETH,482957,-29.44,2554M
8,USDC,117,-14.58,703B
9,ADA,309,-76.27,138B
10,DOGE,73,-80.65,552B
11,AVAX,14496,-70.74,73527M
12,SHIB,86,-75.07,602B
13,TRX,23,-39.28,38226M
14,LINK,5270,-60.55,89788M
15,DOT,5498,-83.67,46367M
16,MATIC,292,-63.53,76749M
17,WBTC,7064300,-12.32,26260M
18,TON,529,-49.53,10477M
19,UNI,4492,-73.04,81278M
20,BCH,378582,-88.29,155B
21,LTC,41026,-77.81,94592M
22,ICP,70065,-98.14,19809M
23,DAI,122,-18.19,38273M
24,ETC,16709,-79.82,63494M
25,ATOM,4445,-73.12,30083M
26,FIL,23684,-96.3,74376M
27,APT,1992,-39.56,23191M
28,LEO,814,-41.65,300M
29,IMX,952,-66.81,9461M
30,NEAR,2044,-79.99,39969M
31,TAO,72782,-8.92,3236M
32,STX,343,-15.45,10346M
33,KAS,19,-10.41,5602M
34,OP,423,-8.75,26514M
35,HBAR,57,-79.88,12329M
36,XLM,88,-84.58,21028M
37,INJ,4608,-7.86,32737M
38,VET,28,-82.19,13477M
39,CRO,97,-86.61,5495M
40,FDUSD,104,-4.03,920B
41,OKB,6492,-17.17,1767M
42,LDO,730,-53.97,10690M
43,GRT,284,-88.95,36733M
44,MNT,101,-10,17515M
45,RNDR,878,-13.44,31176M
46,TIA,2085,-20.67,13150M
47,XMR,54233,-73.78,5839M
48,ARB,239,-17.99,48333M
49,SEI,103,-18.64,22728M
50,BSV,48975,-77.48,31592M
51,RETH,481431,-21.96,7058M
52,SUI,216,-25.46,30703M
53,THETA,1572,-87.4,8472M
54,MKR,629231,-66.54,7351M
55,ALGO,356,-93.25,12193M
56,BEAM,38,-5.5,5018M
57,PEPE,49,-10.91,239B
58,METH,360580,-2.95,587M
59,QNT,42742,-71.54,7346M
60,ORDI,8994,-6.78,53818M
61,FLOW,4240,-97.26,8297M
62,RUNE,2087,-72.69,23250M
63,AR,8924,-70.95,13485M
64,EGLD,54564,-88.33,4936M
65,AAVE,66169,-82.8,16852M
66,BONK,34,-25.61,79168M
67,FET,176,-9.66,58410M
68,FLR,15,-69.84,4408M
69,GALA,82,-94.49,27563M
70,DYDX,392,-8.67,2947M
71,SAND,840,-91.92,28066M
72,SNX,2853,-83.84,8234M
73,MINA,909,-84.93,5953M
74,FTM,346,-85.11,17741M
75,CHZ,88,-81.78,13311M
76,BTT,34,-56.56,27612M
77,AXS,16490,-93.85,12563M
78,APE,2670,-91.42,31273M
79,SATS,92,-32.05,10851M
80,STRK,441,-58.73,19722M
81,BGB,115,-19.37,2639M
82,TUSD,162,-38.29,9038M
83,MANA,585,-88.16,24921M
84,HNT,5488,-83.87,2004M
85,WIF,133,-5.26,24535M
86,TKX,2230,-30.04,4462M
87,XTZ,912,-85.31,5906M
89,FLOKI,34,-65.45,124B
90,EOS,2271,-95.55,27255M
91,CORGIAI,37,0.7,638M
92,NEO,19838,-91.9,10961M
93,WBT,1464,-47.06,1185M
94,WLD,933,-16.83,55638M
95,AGIX,95,-10.4,52688M
96,ETHDYDX,2786,-87.15,18914M
97,AKT,807,-42.38,673M
98,KLAY,434,-93,3511M
99,ROSE,60,-73.84,10724M
100,BLUR,502,-85.57,9400M
101,FRXETH,349586,-2.84,422M
102,CFX,170,-83.87,5110M
103,GNO,64420,-38.84,512M
104,CHEEL,2012,-10.88,391M
105,OSMO,1125,-85.78,4128M
106,PYTH,80,-15.92,12051M
107,IOTA,525,-93.97,4402M
108,KAVA,912,-89.94,2987M
109,LUNC,11918,-100,33574M
110,JASMY,479,-99.58,38369M
111,WOO,178,-70.86,3704M
112,XEC,38,-86.95,19974M
113,ASTR,42,-61,4263M
114,AXL,264,-24.24,8107M
115,DYM,850,-27.76,4099M
116,WEMIX,2471,-90.29,735M
117,MSOL,26193,-42.42,2268M
118,RON,429,-34.5,3254M
119,SWETH,365255,-4.13,458M
120,JUP,200,-70.33,23691M
121,CAKE,4396,-92.65,11677M
122,NEXO,407,-65.85,719M
123,CRV,1537,-95.66,12153M
124,ILV,191126,-93.74,2884M
125,SFRXETH,754509,-51.49,281M
126,USDD,105,-4.85,1199M
127,GT,1294,-58.42,263M
128,RBN,554,-86.17,594M
129,ONDO,53,-8.01,18922M
130,MANTA,383,-26.63,19081M
131,FXS,4280,-78.67,3132M
132,CKB,44,-63.67,5261M
133,ENJ,482,-89.97,9137M
134,ENS,8340,-73.36,9085M
135,1INCH,865,-93.4,7773M
136,CBETH,372009,-2.78,1135M
137,HOT,31,-88.45,11870M
138,FRAX,114,-12.78,2003M
139,OCEAN,193,-44.4,23754M
140,USDE,103,-3.1,10346M
141,SUPER,474,-70.68,6234M
142,COMP,91054,-90.06,10004M
143,CORE,614,-88.44,1701M
144,RPL,6190,-51.03,791M
145,XDC,19,-77.38,2007M
146,TWT,272,-47.79,2437M
147,CELO,982,-88.7,4722M
149,BTG,45625,-92.59,12453M
150,GMT,411,-91.97,9288M
151,IOTX,26,-76.12,2928M
152,METIS,32354,-67.07,3783M
153,SKL,122,-91.21,5640M
154,SC,93,-89.52,4737M
155,NFT,75,-92.66,5080M
156,ZETA,285,-19.65,7202M
157,PRIME,1659,-8.74,942M
158,GMX,9107,-38.03,6508M
159,LUNA,1887,-95.81,8975M
160,ZIL,26,-88.3,4994M
161,FTN,179,-2.79,3540M
162,ALT,58,-17.07,7879M
163,XAUT,216974,-4.22,294M
164,KUJI,556,-25.36,197M
165,CSPR,133,-96.78,1254M
166,ARKM,284,-11.62,22758M
167,BAT,190,-82.9,11657M
168,XRD,65,-92.82,471M
169,GAS,9194,-91.97,3977M
171,NOS,696,-18.82,519M
173,ELF,260,-74.35,637M
174,TRAC,350,-64.86,746M
175,KSM,62171,-91.62,3727M
176,TFUEL,68,-89.45,1467M
177,MASK,4145,-88.54,15297M
178,ZEC,319193,-99.03,9507M
179,MEME,48,-5.94,55568M
180,LPT,9903,-85.75,4840M
181,QTUM,10022,-95.91,5323M
184,PIXEL,69,-20.97,11083M
185,DASH,149359,-97.62,9971M
186,XEM,187,-97.56,1281M
187,XCH,164512,-97.52,3017M
188,GLMR,1950,-97.49,1696M
189,DESO,19868,-80.5,312M
190,CVX,6009,-91.76,805M
191,NTRN,197,-26.9,3983M
192,API3,1030,-63.11,4138M
193,PAXG,224137,-9.32,2447M
194,GLM,132,-70.59,2907M
195,ETHW,5854,-93.85,2456M
196,LRC,375,-91.68,4831M
197,KDA,2764,-94.75,1773M
198,AZERO,309,-59.22,363M
199,RVN,29,-90.18,2526M
200,RLB,26,-50.68,398M
201,ANKR,21,-82.47,4030M
202,POKT,311,-92.68,113M
203,SFP,419,-80.74,588M
204,XAI,159,-15.72,8623M
205,DEXE,3238,-79.99,2467M
207,AUDIO,495,-93.88,1885M
208,GAL,1832,-81.06,3616M
209,OKT,25053,-91.83,363M
210,BICO,2145,-97.65,7018M
211,VTHO,47,-89.52,1681M
212,ZRX,250,-83.24,2268M
213,PORTAL,336,-36.9,13441M
214,UMA,4156,-89.34,2531M
215,DCR,24735,-91.13,450M
216,ANT,1464,-40.92,1060M
217,JST,19,-79.83,6236M
218,FLUX,333,-70.36,1727M
219,USTC,109,-96.55,8373M
220,BAND,2283,-89.49,2270M
221,MAGIC,632,-79.59,12328M
223,PENDLE,364,-7.42,6357M
224,T,23,-85.07,1735M
225,PAAL,54,-6.86,799M
226,TRUMP,778,-13.24,221M
227,ONE,38,-93.12,2852M
228,CTSI,174,-76.5,4060M
229,COTI,67,-68.9,5101M
230,CHR,149,-73.11,1906M
231,AIOZ,265,-88.98,846M
232,SAVAX,10355,-53.52,177M
233,YFI,9078700,-89.76,6264M
235,SUSHI,2338,-93.16,11075M
236,TRB,59309,-79.77,7123M
237,RAY,1683,-92.99,4518M
238,WAVES,6130,-95.07,10014M
239,ICX,1316,-97.72,1293M
240,MX,370,-20.81,805M
241,VR,62,-92.36,248M
242,JTO,601,-58.9,9803M
243,BABYDOGE,63,-68.25,2639M
244,OLAS,847,-30.81,927M
245,BAL,7445,-93.08,1025M
246,C98,642,-93.77,3038M
247,WAXP,277,-96.99,2394M
248,RLC,1551,-74.92,2832M
249,FNSA,34588,-89.31,132M
250,ID,103,-37.02,7539M
251,AMP,12,-95.86,1436M
252,MOBILE,78,-57.57,982M
253,ONT,1092,-97.2,1698M
254,BORG,164,-83.41,243M
255,ALEX,48,-22.26,253M
256,PYUSD,102,-2.25,1681M
257,KUB,1724,-82.89,1019M
258,DGB,18,-91.33,1627M
259,SFUND,1679,-76,1493M
260,SXP,579,-92.6,2217M
261,PEOPLE,19,-73.44,35462M
263,ORAI,10576,-84.77,835M
264,BDX,45,-91.04,236M
265,WBETH,361969,-3.24,723M
266,CQT,208,-81.17,404M
267,SGB,71,-97.63,135M
268,ACS,27,-87.83,402M
269,OMI,13,-93.26,116M
270,TET,4503,-25.81,276M
271,ALPH,386,-12.95,361M
272,0X0,30,-10.28,358M
273,ORCA,2033,-76.49,700M
274,DAO,871,-88.21,337M
275,PANDORA,3249400,-26.69,1735M
276,BIGTIME,98,-51.43,8300M
277,SSV,4952,-32.86,2946M
278,AI,194,-6.7,12748M
279,EDU,167,-46.34,1223M
280,MOG,66,-11.19,1914M
281,OAS,14,-13.29,173M
282,LSK,3492,-95.59,1169M
283,RIF,46,-51.21,722M
284,GNS,1248,-47.76,939M
